Probability of Ototoxicity,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,ICER of Enhanced Clinical Observation compared to NSC,WTP Threshold
0.01976,,5269.83895,4875.798535,4927.916955,,79.97112219,79.97717042,79.98266431,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,9486.614545,50000
0.01994,,5276.314753,4880.770119,4931.522188,,79.970885,79.97698832,79.98253226,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,9154.519491,50000
0.02012,,5282.790556,4885.741702,4935.12742,,79.97064781,79.97680623,79.98240021,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,8828.366494,50000
0.0203,,5289.26636,4890.713286,4938.732653,,79.97041062,79.97662413,79.98226816,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,8507.997488,50000
0.02048,,5295.742163,4895.684869,4942.337885,,79.97017343,79.97644204,79.98213611,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,8193.259966,50000
0.02066,,5302.217966,4900.656453,4945.943118,,79.96993624,79.97625995,79.98200406,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,7884.006736,50000
0.02084,,5308.69377,4905.628036,4949.54835,,79.96969905,79.97607785,79.98187201,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,7580.09569,50000
0.02102,,5315.169573,4910.59962,4953.153583,,79.96946186,79.97589576,79.98173996,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,7281.389589,50000
0.0212,,5321.645376,4915.571203,4956.758815,,79.96922467,79.97571366,79.98160791,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,6987.755853,50000
0.02138,,5328.12118,4920.542786,4960.364048,,79.96898748,79.97553157,79.98147587,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,6699.06637,50000
0.02156,,5334.596983,4925.51437,4963.96928,,79.96875029,79.97534947,79.98134382,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,6415.197302,50000
0.02174,,5341.072787,4930.485953,4967.574513,,79.9685131,79.97516738,79.98121177,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,6136.028916,50000
0.02192,,5347.54859,4935.457537,4971.179745,,79.96827591,79.97498528,79.98107972,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,5861.445411,50000
0.0221,,5354.024393,4940.42912,4974.784978,,79.96803871,79.97480319,79.98094767,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,5591.334758,50000
0.02228,,5360.500197,4945.400704,4978.39021,,79.96780152,79.97462109,79.98081562,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,5325.588548,50000
0.02246,,5366.976,4950.372287,4981.995443,,79.96756433,79.974439,79.98068357,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,5064.101849,50000
0.02264,,5373.451803,4955.34387,4985.600675,,79.96732714,79.9742569,79.98055152,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,4806.773063,50000
0.02282,,5379.927607,4960.315454,4989.205908,,79.96708995,79.97407481,79.98041947,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,4553.503801,50000
0.023,,5386.40341,4965.287037,4992.81114,,79.96685276,79.97389271,79.98028742,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,4304.198753,50000
